id,title,price,location,latitude,longitude,type,size,no_of_bedrooms,no_of_bathrooms,completion_status,amenities
6861509,New to Market | 2 Bedroom | Vacant Now,1260000,"Dubai, Palm Jumeirah, Shoreline Apartments",25.106809,55.151201,Apartment,"1,646 sqft
                      /            153 sqm",2,3,Ready,
6874086,Pay 1.25% Monthly|Near Completion|No Commission,1386795,"Dubai, Meydan, Meydan Avenue",25.158305,55.296535,Apartment,"1,084 sqft
                      /            101 sqm",2,3,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Children's Play Area, Covered Parking, Kitchen Appliances, Shared Gym, Shared Pool, "
6918062,Unique Two Bedroom with Large Terrace,4500000,"Dubai, Culture Village",25.227295,55.341761,Apartment,"3,048 sqft
                      /            283 sqm",2,3,Ready,"Furnished, Balcony, Built in Wardrobes, Kitchen Appliances, Security, Shared Gym, Shared Pool, Shared Spa, "
6944434,Ready to Move. Direct from Developer.,750000,"Dubai, Arjan",25.06031,55.241403,Apartment,"796 sqft
                      /            74 sqm",1,1,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Children's Play Area, Children's Pool, Covered Parking, Kitchen Appliances, Lobby in Building, Security, Shared Gym, Shared Pool, View of Landmark, Walk-in Closet, "
6944601,Perfect family home | View Show Apartment today,991000,"Dubai, Arjan",25.06031,55.241403,Apartment,"1,162 sqft
                      /            108 sqm",2,2,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Children's Play Area, Children's Pool, Covered Parking, Kitchen Appliances, Lobby in Building, Security, Shared Gym, Shared Pool, View of Landmark, Walk-in Closet, "
6947962,Best Layout 3 Bed in The Address Jumeirah,3599999,"Dubai, Jumeirah Beach Residence",25.07359,55.126352,Apartment,"1,966 sqft
                      /            183 sqm",3,3,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Pets Allowed, "
6954492,Premium Tower |Full Marina | High Floor,2625000,"Dubai, Dubai Marina, Silverene",25.075017,55.137997,Apartment,"1,786 sqft
                      /            166 sqm",3,4,Ready,"Unfurnished, Balcony, Built in Wardrobes, Shared Gym, Shared Pool, "
6956778,Brand new 1 Bed Apt with Beautiful Views,1270000,"Dubai, Dubai Creek Harbour (The Lagoons)",25.204631,55.343457,Apartment,"900 sqft
                      /            84 sqm",1,2,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Shared Gym, Shared Pool, "
6976651,BRAND NEW STUDIO FOR SALE WITH PAYMENT PLAN,Ask for price,"Dubai, Dubai Silicon Oasis",25.127948,55.386264,Apartment,"480 sqft
                      /            45 sqm",studio,1,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Security, Shared Pool, "
6987144,"Brand New Biggest 1BR, BLVD + partial Creek view",1398000,"Dubai, Dubai Creek Harbour (The Lagoons)",25.206345,55.345142,Apartment,"1,168 sqft
                      /            109 sqm",1,2,Ready,"Unfurnished, Balcony, Built in Wardrobes, Pets Allowed, "
6992975,Great Layout and Stunning 1 Bed Apartment,1795000,"Dubai, Dubai Marina, Marina Promenade",25.074439,55.133386,Apartment,"1,002 sqft
                      /            93 sqm",1,2,Ready,"Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Gym, Shared Pool, View of Water, "
6993708,Reehan | Community View | 2 Bed | 3 Bath,1600000,"Dubai, Old Town, Reehan",25.190275,55.278378,Apartment,"1,221 sqft
                      /            113 sqm",2,3,Ready,
7015600,"Palm Views West |Sea Views| VOT | Immaculate, PJ",1050000,"Dubai, Palm Jumeirah, Palm Views",25.114333,55.137506,Apartment,"549 sqft
                      /            51 sqm",studio,1,Ready,"Unfurnished, Built in Wardrobes, Central A/C, Shared Pool, View of Water, "
7017139,Vacant 2 Bed Top on Pool Facing Apartment,1150000,"Dubai, Greens, Al Dhafra",25.091487,55.172015,Apartment,"1,133 sqft
                      /            105 sqm",2,2,Ready,
7018490,Bright Layout | Great Investment,1800000,"Dubai, City Walk",25.200221,55.264588,Apartment,"1,191 sqft
                      /            111 sqm",1,2,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Gym, Shared Pool, "
7019863,Ready to Move |3 BR Apt with Maid's Room,1349999,"Dubai, Al Furjan, Azizi Residence",25.02985,55.15156,Apartment,"1,861 sqft
                      /            173 sqm",3,4,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Pets Allowed, Shared Gym, Shared Pool, "
7020315,Large Apartment with Appliances Included,1800000,"Dubai, Dubai Creek Harbour (The Lagoons)",25.20573,55.34511,Apartment,"1,582 sqft
                      /            147 sqm",2,3,Ready,
7023909,Burj Khalifa View | 20% Down Payment Rent to Own,2353146,"Dubai, Business Bay",25.185337,55.2763,Apartment,"1,168 sqft
                      /            109 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Shared Gym, Shared Pool, View of Water, "
7026636,Sea View | Fully Furnished | Must View Now,2800000,"Dubai, Dubai Marina",25.089393,55.147796,Apartment,"3,172 sqft
                      /            295 sqm",4,5,Ready,"Furnished, Balcony, Built in Wardrobes, Central A/C, "
7033393,Investor price  Full Golf Course Facing Studio Apt,365000,"Dubai, DAMAC Hills (Akoya by DAMAC)",25.016736,55.25101,Apartment,"451 sqft
                      /            42 sqm",studio,1,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Pets Allowed, Shared Gym, Shared Pool, "
7047499,Luxury 1 Bedroom With Spectacular Full Sea View,1980000,"Dubai, Palm Jumeirah, Serenia Residences The Palm",25.132519,55.151574,Apartment,"935 sqft
                      /            87 sqm",1,1,Ready,"Unfurnished, Balcony, Barbecue Area, Children's Play Area, Concierge, Shared Gym, Shared Pool, View of Water, "
7052024,Brand New and Fully Furnished 1 Bedroom Apt,2300000,"Dubai, Dubai Marina, Marina Gate",25.086376,55.14736,Apartment,"775 sqft
                      /            72 sqm",1,2,Ready,"Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Pets Allowed, Shared Gym, Shared Pool, View of Water, "
7052085,Best Deal 2 Bed with Breath-taking Views,2200000,"Dubai, Dubai Marina, Marina Gate",25.086575,55.147768,Apartment,"1,277 sqft
                      /            119 sqm",2,3,Ready,"Furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Pets Allowed, Shared Gym, Shared Pool, View of Water, "
7061799,Brand New 1 Bedroom Apt | Prime Location,1270000,"Dubai, Dubai Creek Harbour (The Lagoons)",25.204631,55.343457,Apartment,"981 sqft
                      /            91 sqm",1,2,Ready,"Unfurnished, Balcony, Central A/C, Kitchen Appliances, Shared Pool, "
7065369,Private Beach Access | Sea View | 2 Beds,2650000,"Dubai, Jumeirah Beach Residence, The Walk",25.072954,55.128089,Apartment,"1,703 sqft
                      /            158 sqm",2,2,Ready,
7075159,"Brand New, Lake View Studio for Sale Dubai Gate 2",375000,"Dubai, Jumeirah Lake Towers, Lake Elucio",25.065736,55.137452,Apartment,"450 sqft
                      /            42 sqm",studio,1,,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Pets Allowed, Security, Shared Gym, Shared Pool, View of Landmark, View of Water, "
7080801,Full Golf And Burj Khalifa View High Floor tower C,1150000,"Dubai, Jumeirah Golf Estates",25.029767,55.206417,Apartment,"1,367 sqft
                      /            127 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Children's Play Area, Pets Allowed, "
7081717,Special Price Directly from the Developer. Move in Now!,2400000,"Dubai, Business Bay, Al Habtoor City",25.183133,55.25658,Apartment,"1,965 sqft
                      /            183 sqm",3,4,,"Partly furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Security, Shared Gym, Shared Pool, "
7081836,Brand New. Directly from the Developer. Limited Time only!,1700000,"Dubai, Business Bay, Al Habtoor City",25.183133,55.25658,Apartment,"1,358 sqft
                      /            126 sqm",2,3,,"Partly furnished, Balcony, Built in Wardrobes, Concierge, Covered Parking, Kitchen Appliances, Security, Shared Gym, Shared Pool, View of Water, "
7081881,Amazing Deal. Directly from the Developer. Limited Time only!,1709847,"Dubai, Business Bay, Al Habtoor City",25.183133,55.25658,Apartment,"1,367 sqft
                      /            127 sqm",2,3,,"Partly furnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Security, Shared Gym, Shared Pool, View of Landmark, "
7082693,Large 3BR Apt plus Maids with Marina views,12000000,"Dubai, Jumeirah, Jumeirah Bay Island",25.215192,55.235827,Apartment,"2,631 sqft
                      /            244 sqm",3,5,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Gym, Shared Pool, View of Water, "
7082844,Vacant | Pool and Park View | Corner Unit,1850000,"Dubai, Dubai Hills Estate, Park Heights",25.109367,55.24798,Apartment,"1,993 sqft
                      /            185 sqm",3 + Maid,4,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Pets Allowed, Security, Shared Gym, Shared Pool, "
